date,home_team,away_team,home_score,away_score,tournament,city,country,id,home_result,away_result
1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,1,draw,draw
1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,2,win,loss
1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,3,win,loss
1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,4,draw,draw
1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,5,win,loss
1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Glasgow,Scotland,6,win,loss
1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,7,loss,win
1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wrexham,Wales,8,loss,win
1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,9,win,loss
1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Glasgow,Scotland,10,win,loss
1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,11,win,loss
1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,12,win,loss
1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,13,loss,win
1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,14,win,loss
1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,15,loss,win
1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Glasgow,Scotland,16,win,loss
1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,17,loss,win
1881-03-12,England,Scotland,1.0,6.0,Friendly,London,England,18,loss,win
1881-03-14,Wales,Scotland,1.0,5.0,Friendly,Wrexham,Wales,19,loss,win
1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Belfast,Northern Ireland,20,loss,win
1882-02-25,Wales,Northern Ireland,7.0,1.0,Friendly,Wrexham,Wales,21,win,loss
1882-03-11,Scotland,England,5.0,1.0,Friendly,Glasgow,Scotland,22,win,loss
1882-03-13,Wales,England,5.0,3.0,Friendly,Wrexham,Wales,23,win,loss
1882-03-25,Scotland,Wales,5.0,0.0,Friendly,Glasgow,Scotland,24,win,loss
1883-02-03,England,Wales,5.0,0.0,Friendly,London,England,25,win,loss
1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,Liverpool,England,26,win,loss
1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,27,loss,win
1883-03-12,Wales,Scotland,0.0,3.0,Friendly,Wrexham,Wales,28,loss,win
1883-03-17,Northern Ireland,Wales,1.0,1.0,Friendly,Belfast,Northern Ireland,29,draw,draw
1884-01-26,Northern Ireland,Scotland,0.0,5.0,British Home Championship,Belfast,Northern Ireland,30,loss,win
1884-02-09,Wales,Northern Ireland,6.0,0.0,British Home Championship,Wrexham,Wales,31,win,loss
1884-02-23,Northern Ireland,England,1.0,8.0,British Home Championship,Belfast,Northern Ireland,32,loss,win
1884-03-15,Scotland,England,1.0,0.0,British Home Championship,Glasgow,Scotland,33,win,loss
1884-03-17,Wales,England,0.0,4.0,British Home Championship,Wrexham,Wales,34,loss,win
1884-03-29,Scotland,Wales,4.0,1.0,British Home Championship,Glasgow,Scotland,35,win,loss
1885-02-28,England,Northern Ireland,4.0,0.0,British Home Championship,Manchester,England,36,win,loss
1885-03-14,England,Wales,1.0,1.0,British Home Championship,Blackburn,England,37,draw,draw
1885-03-14,Scotland,Northern Ireland,8.0,2.0,British Home Championship,Glasgow,Scotland,38,win,loss
1885-03-21,England,Scotland,1.0,1.0,British Home Championship,London,England,39,draw,draw
1885-03-23,Wales,Scotland,1.0,8.0,British Home Championship,Wrexham,Wales,40,loss,win
1885-04-11,Northern Ireland,Wales,2.0,8.0,British Home Championship,Belfast,Northern Ireland,41,loss,win
1885-11-28,USA,Canada,0.0,1.0,Friendly,Newark,USA,42,loss,win
1886-02-27,Wales,Northern Ireland,5.0,0.0,British Home Championship,Wrexham,Wales,43,win,loss
1886-03-13,Northern Ireland,England,1.0,6.0,British Home Championship,Belfast,Northern Ireland,44,loss,win
1886-03-20,Northern Ireland,Scotland,2.0,7.0,British Home Championship,Belfast,Northern Ireland,45,loss,win
1886-03-27,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,46,draw,draw
1886-03-29,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,47,loss,win
1886-04-10,Scotland,Wales,4.0,1.0,British Home Championship,Glasgow,Scotland,48,win,loss
1886-11-25,USA,Canada,3.0,2.0,Friendly,Newark,USA,49,win,loss
1887-02-05,England,Northern Ireland,7.0,0.0,British Home Championship,Sheffield,England,50,win,loss
1887-02-19,Scotland,Northern Ireland,4.0,1.0,British Home Championship,Glasgow,Scotland,51,win,loss
1887-02-26,England,Wales,4.0,0.0,British Home Championship,London,England,52,win,loss
